-5.000000; -0.284203
-4.655172; -0.294959
-4.310345; -0.304215
-3.965517; -0.312690
-3.620690; -0.320502
-3.275862; -0.327649
-2.931035; -0.333919
-2.586207; -0.339504
-2.241379; -0.344303
-1.896552; -0.348413
-1.551724; -0.352050
-1.206897; -0.355081
-0.862069; -0.357743
-0.517241; -0.359704
-0.172414; -0.360898
0.172414; -0.348496
0.517241; -0.286598
0.862069; -0.214963
1.206897; -0.148886
1.551724; -0.089525
1.896552; -0.006125
2.241379; 0.054914
2.586207; 0.092975
2.931035; 0.126748
3.275862; 0.157026
3.620690; 0.184188
3.965517; 0.208282
4.310345; 0.229840
4.655172; 0.248864
5.000000; 0.265698
5.000000; 0.280435
4.655172; 0.293377
4.310345; 0.304968
3.965517; 0.315389
3.620690; 0.324696
3.275862; 0.332722
2.931035; 0.339691
2.586207; 0.345541
2.241379; 0.350288
1.896552; 0.354204
1.551724; 0.357244
1.206897; 0.359348
0.862069; 0.360521
0.517241; 0.360898
0.172414; 0.360378
-0.172414; 0.341910
-0.517241; 0.273407
-0.862069; 0.200283
-1.206897; 0.133699
-1.551724; 0.073759
-1.896552; 0.020323
-2.241379; -0.027564
-2.586207; -0.070444
-2.931035; -0.108710
-3.275862; -0.143046
-3.620690; -0.173912
-3.965517; -0.201426
-4.310345; -0.232598
-4.655172; -0.266811
-5.000000; -0.284203
